timesteps,ep_rew_mean,ep_rew_std,ep_len_mean
842000,143.42129950999998,44.6625557139694,889.45
844000,144.49288187999997,43.98248537856792,897.62
846000,144.55281829999998,43.98982145838553,897.62
848000,144.55281829999998,43.98982145838553,897.62
850000,145.00087538999998,44.162456006006174,897.66
852000,145.85495895,43.33114242205885,905.52
854000,147.67342141,40.94892173500236,913.54
856000,146.74567252,41.68597818050825,905.7
858000,147.25366247,41.748326093306474,905.7
860000,148.17918096,41.163062565334826,913.83
862000,148.21969773,41.081635760699726,913.05
864000,148.21969773,41.081635760699726,913.05
866000,148.64228402,41.45279979815483,913.05
868000,148.72981858,41.44968341724738,913.05
870000,145.97106286,43.640620613397864,897.12
872000,146.46707533,43.79631521008814,897.12
874000,146.85302746000002,43.906077854843474,897.12
876000,145.77169534,44.66524401535901,889.4
878000,145.66672218,44.67504756415475,889.4
880000,145.66672218,44.67504756415475,889.4
882000,147.65103761,42.14177554982717,905.2
884000,148.558055,43.39022118283049,903.99
886000,149.17352198,43.59665451946245,903.99
888000,149.12979155,43.592339517846895,903.99
890000,149.37551596,43.65642563839874,903.99
892000,147.69977691000003,46.5335843870977,888.3
894000,147.72138823,46.553603087723594,888.3
896000,147.72138823,46.553603087723594,888.3
898000,149.20548960999997,44.65445788424349,896.19
900000,148.97521443999997,44.47959462364657,896.19
902000,149.59315183,43.27923098744778,904.08
904000,147.99533559,46.75964069352907,896.2
906000,146.1434975,48.68577460616925,887.98
908000,146.48029476,48.53665770554453,887.98
910000,147.72316193999998,46.529830129048634,895.86
912000,146.43327533,47.99026191195375,888.09
914000,145.59750844,47.67623963460774,888.09
916000,146.05303161,49.033524178904386,886.1
918000,144.59935037,50.24527684027985,878.31
920000,144.59935037,50.24527684027985,878.31
922000,142.94944377,51.040244305765476,870.36
924000,144.10872866999998,53.14080998846528,870.09
926000,142.91026749,53.854915777597924,862.24
928000,141.66865522999998,54.63740473036222,854.16
930000,144.01073862,53.2706156241913,869.65
932000,143.20116251000002,54.081757986444636,869.75
934000,142.49376979000002,55.02949083717125,861.83
936000,141.22683292000002,56.24152938325453,854.0
938000,140.28903985,58.13874820784315,840.6
940000,140.23202714999996,60.14586077510394,826.2
942000,141.03909889999997,62.82183564082843,825.04
944000,141.75415994,63.71958957667354,819.14
946000,142.96481346000002,64.97506308254354,813.32
948000,144.51094808,66.67063439302206,802.31
950000,144.51094808,66.67063439302206,802.31
952000,147.24503714000002,67.60623489908936,806.18
954000,146.81262028,67.46550848539532,806.18
956000,145.6136522,70.91652020533108,788.73
958000,145.94848073,70.9901826494926,788.73
960000,145.4096381,72.75748443395122,779.51
962000,145.56646262,72.86417655275528,780.43
964000,144.17139475,73.33101953406944,772.76
966000,144.16982717000002,75.64144344523692,757.81
968000,152.18385259000001,78.81324562709736,751.87
970000,155.35214295999998,81.60008417025286,743.92
972000,159.48267797,84.14917247736891,719.44
974000,165.45068843,83.53615162550693,709.04
976000,168.70698486,85.61410529428359,690.99
978000,173.12728810000002,85.5156569790747,684.15
980000,180.32614268999995,86.46139066737656,669.41
982000,178.51287476000002,89.57258425560212,649.09
984000,184.04907989,89.02825895078955,633.27
986000,192.18346515000002,89.08053312135665,618.55
988000,196.33034980999997,88.36188594092695,596.04
990000,201.70145465,88.3035726319152,570.1
992000,208.42802257,85.57962344603482,554.8
994000,213.39377079999997,84.37077966565793,542.08
996000,215.81688925000003,84.49039754958389,528.12
998000,220.74712560999996,84.37102180069856,496.12
1000000,229.02093718,79.20094425949786,474.26
1002000,231.84467285,79.27471409633527,439.57
1004000,235.13128945,78.57091551678685,420.48
1006000,232.29153273,82.37029197377441,391.46
1008000,229.44293645000002,83.4661221447855,374.77
1010000,228.98142533,83.65769135971087,372.2
1012000,228.44594967000003,83.45892304061388,369.23
1014000,227.82452152999994,84.48135992488967,352.92
